author,title,category,phrase_text,error,correction
By Peter the Human,Shaun of the Dead,Horror,"To fend off two approaching zombies, Shaun and Ed begin throwing vinyl records at the zombies' heads. They start being more selective in their choice after Ed throws an original pressing of ‘Blue Monday’; choosing not to throw ‘Purple Rain’, ‘Sign o' the Times’ or The Stone Roses' ‘Second Coming’, but throwing the ‘Batman’ soundtrack, a Dire Straits record, and a Coldplay record belonging to Shaun's ex Liz.","but throwing the ‘Batman’ soundtrack, a Dire Straits record, and a Coldplay record belonging to Shaun's ex Liz.","Um, actually, they don't throw a Coldplay record. Liz's thrown record was “Diamond Life” by Sade"
By Peter the Human,Stranger Things,Fantasy,"Walking experimental ethics violation Eleven has demonstrated her powers many times over the course of Stranger Things. Her powers include telekinesis (such as when she flipped a van), the ability to manipulate others muscles (such as when she made the bully Troy beat himself up after an assembly), and telepathic abilities (such as when she viewed Billy’s memories to find the Mind Flayer’s lair).","the ability to manipulate others muscles (such as when she made the bully Troy beat himself up after an assembly),","Um, actually, she didn't make Troy beat himself up. She made Troy pee his pants."
By Peter the Human,Universal Classic Monsters,Horror,"Universal Pictures arguably began the concept of a shared cinematic universe, with sequels that tell a continuous story and characters that crossover into each others’ films. “Dracula” was followed by sequels “Dracula's Daughter” and “Son of Dracula”, “Frankenstein” was followed by “Bride of Frankenstein” and “Son of Frankenstein”, and “The Mummy” was followed by “The Mummy's Hand”, “The Mummy's Tomb”, “The Mummy's Ghost” and “The Mummy's Curse”.","and “The Mummy” was followed by “The Mummy's Hand”, “The Mummy's Tomb”, “The Mummy's Ghost” and “The Mummy's Curse”.","Um, actually, none of the films listed are sequels to The Mummy. The Mummy's Hand spawned the sequels Tomb, Curse and Ghost; but it is not considered a sequel to The Mummy - sharing none of the cast or plot."
By Peter the Human,The Witch,Horror,"After Samuel, the youngest son of a family living in a Puritan settlement, disappears while playing with his sister Thomasin; it begins a chain of events that causes Thomasin's family to devolve into paranoia and accuse her of being a witch. It is later revealed that the unbaptized Samuel had been stolen and killed by a watch, so his body could be used to make an ointment.","After Samuel, the youngest son of a family living in a Puritan settlement,","Um, actually, the family don't live in a Puritan settlement. They were banished from the settlement over a religious dispute."
By Peter the Human,Avatar,Sci-Fi,"In James Cameron’s “Avatar”, the human Resources Development Administration (or RDA) uses alien-human hybrids known as ‘Avatars’ to explore the biosphere of the moon Pandora, because the atmosphere is poisonous to humans. Pandora is rich in the mineral pandorium and is inhabited by the Na’vi – 10-foot tall, blue skinned humanoids that live in harmony with nature and worship the mother goddess Eywa.",Pandora is rich in the mineral pandorium and is inhabited by the Na’vi,"Um, actually, the mineral isn't called pandorium. It's called unobtanium."
By Peter the Human,Black Mirror,Sci-Fi,"The episode “San Junipero” follows the burgeoning relationship of two women: the vivacious party girl Kelly and the shier, more reserved Yorkie. Although the two appear to meet in 1987 at a nightclub called Tucker’s, it's later revealed that San Junipero is a simulated reality where the deceased can live and the elderly can visit, inhabiting the bodies of their younger selves - and Yorkie is in fact dead.","the deceased can live and the elderly can visit, inhabiting the bodies of their younger selves - and Yorkie is in fact dead.","Um, actually, Yorkie isn't dead when she meets Kelly. Yorkie was paralyzed in a car accident and is looking to be euthanised to live in San Junipero permanently."
By Peter the Human,Blade Runner,Sci-Fi,"“Blade Runner” follows Rick Deckard as he attempts to hunt down and ‘retire’ four bioengineered humanoid ‘replicants’ – Leon Kowalski, Zhora, Pris and Roy Batty – who hijacked a shuttle and illegally landed on Earth. The replicants were bio-engineered with Methuselah Syndrome and are seeking a cure from the Tyrell Corporation to extend their lifespans.",The replicants were bio-engineered with Methuselah Syndrome and are seeking a cure from the Tyrell Corporation to extend their lifespans.,"Um, actually, the replicants don't have Methuselah syndrome. Replicants are just programmed to die after four years, although Tyrell's genetic engineer J. F. Sebastian has Methuselah Syndrome."
By Peter the Human,Brave New World,Sci-Fi,"Aldous Huxley's novel “Brave New World” takes place in a dystopic future where humans are engineered through artificial wombs and childhood indoctrination into predetermined castes: from the low-caste Epsilons to the high-caste Alphas. Humans are also kept compliant through the drug Skooma, and ""feelies"" - entertainment similar to movies, but augmented with the sensations of smell and touch.","Humans are also kept compliant through the drug Skooma, and ""feelies""","Um, actually, the drug isn't called Skooma. Skooma is a drug from The Elder Scrolls games, the drug in Brave New World is called Soma."
By Peter the Human,Doctor Who,Sci-Fi,"The Silence were an alien religious order whose existence on Earth was kept secret, because anyone who saw them immediately forgot after looking away, but retained suggestions the Silence had made to them – allowing them to secretly influence human history. The Silence were defeated when the Eleventh Doctor faked his death at the hands of River Song, causing a paradox that erased the order from history.","The Silence were defeated when the Eleventh Doctor faked his death at the hands of River Song, causing a paradox that erased the order from history.","Um, actually, the Silence weren't defeated by the Doctor faking his death. They were defeated by inserting a clip of one of the Silence saying ""You should kill us all on sight"" into the Moon Landing – with humanity proceeding to do just that before forgetting."
By Peter the Human,Doctor Who,Sci-Fi,"The Silurians are an alien species that first appeared in the classic “Doctor Who” episode “Doctor Who and the Silurians”, and frequently feature in plotlines with an anti-war sentiment. Their advanced technology includes genetic modification, hibernation units, spaceships (which they used to preserve dinosaur species) and candles which could induce lucid dreams, allowing people to communicate across time and space.","The Silurians are an alien species that first appeared in the classic “Doctor Who” episode “Doctor Who and the Silurians”,","Um, actually, Silurians aren't an alien species. Silurians live underground on Earth and predate humanity."
By Peter the Human,Dune,Fantasy,"In order to test if an individual's awareness is stronger than their instincts, the Bene Gesserit issue a ""Test of Humanity"" involving the gom jabbar - a box that inflicts great physical pain on anyone who inserts their hand into it. When the Reverend Mother Mohiam tested Paul Atreides, he passed the test despite being exposed to more pain than anyone else before him.",the gom jabbar - a box that inflicts great physical pain on anyone who inserts their hand into it.,"Um, actually, the box isn't called the gom jabbar. The gom jabbar refers to the poison-tipped needle that's held against a person's neck while they put their hand in the box."
By Peter the Human,Everything Everywhere All at Once,Sci-Fi,"Evelyn Wang discovers that an alternate universe version of herself developed ""verse-jumping"" technology that grants access to the skills and memories of a person's parallel universe counterpart. Evelyn is the only person in the multiverse who has the unique skillset needed to stop Jobu Tupaki (an alternate universe version of her daughter) who has created an ""everything bagel"" - a singularity that can potentially destroy the multiverse.",Evelyn is the only person in the multiverse who has the unique skillset needed to stop Jobu Tupaki,"Um, actually, Evelyn doesn't have a unique skillset. Evelyn is uniquely unskilled. The fact that she's the worst possible version of herself lets access other universes more easily."
By Peter the Human,Ex_Machina,Sci-Fi,"“Ex_Machina” follows programmer Caleb Smith, who is invited by his company's CEO to his luxurious mansion to administer the Turing Test to the intelligent android Ava. After Nathan reveals Ava is his first prototype and that he intends to ""upgrade"" her, Ava and Caleb hatch a plan to flee.","After Nathan reveals Ava is his first prototype and that he intends to ""upgrade"" her,","Um, actually, Ava wasn't Nathan's first prototype. There were many others - including Nathan's ""servant"" Kyoko."
By Peter the Human,Fictional Drugs,Sci-Fi,"Sci-Fi may have a drug problem... In “Star Trek: Deep Space Nine”, the Jem'Hadar use the drug Ketracel White to unlock telekinetic powers. In Frank Herbert’s “Dune” series, the drug melange (sometimes called ""spice"") is used by Navigators to guide space ships through fold space. And in the film “Limitless”, the nootropic drug NZT-48 massively increases users' brainpower.","In “Star Trek: Deep Space Nine”, the Jem'Hadar use the drug Ketracel White to unlock telekinetic powers.","Um, actually, Ketracel White doesn't give telekinetic abilities. Ketracel White is extremely addictive and is used as a control mechanism"
By Peter the Human,Firefly,Sci-Fi,"The Serenity is a 03-K64-Firefly class ship that was acquired by Malcolm Reynolds in 2512, shortly after the end of the Unification War. Although Mal’s First Mate Zoë was unimpressed by the vessel at first, the ship does boast some convenient features: 2 magnetic grappler hooks, 2 plasma cannons, 6 self-powered transmitter buoys, 3 one man escape pods, and 2 shuttles – one of which they hire out to Inara Serra.","the ship does boast some convenient features: 2 magnetic grappler hooks, 2 plasma cannons, 6 self-powered transmitter buoys,","Um, actually, the Serenity doesn't have 2 plasma cannons. In fact, it doesn't have weapons of any kind!"
By Peter the Human,The Hunger Games,Fantasy,"Katniss Everdeen, and her love interests Peeta Mellark and Gale Hawthorne all hail from District 12 of Panem. Having only produced 2 winners before the events of the first book and its film adaptation (Haymitch Abernathy and another unnamed winner who died of natural causes); Katniss and Peeta are selected as tributes, and eventually end up both winning after refusing to kill the other.","Katniss and Peeta are selected as tributes, and eventually end up both winning after refusing to kill the other.","Um, actually, Katniss wasn't selected as a tribute. She volunteered as tribute in place of her sister Primrose."
By Peter the Human,The Matrix,Sci-Fi,"After computer hacker Thomas Anderson (aka Neo) takes the red pill, he learns that he lives a simulated reality known as ‘The Matrix’ – modelled on Earth in the year 1999. The Matrix was created after intelligent machines won the war against humanity by blocking out the Sun via a nuclear winter, causing Earth’s ecosystems to collapse. Humanity was then kept alive in The Matrix while the machines harvested their bioelectric power.","The Matrix was created after intelligent machines won the war against humanity by blocking out the Sun via a nuclear winter,","Um, actually, the machines didn't block out the sun. Humans blocked out the sun in an attempt to kill the machines, which ran on solar power."
By Peter the Human,Pacific Rim,Sci-Fi,"Jaegers are giant robots created to fight the monstrous Kaiju. Since a Jaeger’s neural load is too much for one person to handle without dying or suffering health problems; every Jaeger is designed to be piloted by 2 pilots who are linked to each other by a concept called “drifting”. When pilots drift, they gain knowledge of each other's memories and feelings, which is why many Jaegers are piloted by family members.",every Jaeger is designed to be piloted by two pilots who are linked to each other by a concept called “drifting”.,"Um, actually, not all Jaegers are piloted by two people. The Jaeger Crimson Typhoon was made to be piloted by triplets"
By Peter the Human,Rogue One: A Star Wars Story,Fantasy,"In “Rogue One: A Star Wars Story”, a group of rebels steal the schematics of the Death Star, detailing its secret vulnerability, from the planet Scarif. During the raid, most of Rogue One’s crew dies: including blind warrior Chirrut Îmwe, former Imperial pilot Bodhi Rook and sarcastic droid K-2SO. However, Jyn Erso and Rebel captain Cassian Andor survive, and successfully deliver the schematics to the Rebel command ship.","Jyn Erso and Rebel captain Cassian Andor survive, and successfully deliver the schematics to the Rebel command ship.","Um, actually, Jyn and Cassian don't survive. Scarif is blown up by the Death Star, killing Jyn and Cassian as well."
By Peter the Human,Slaughterhouse-Five,Sci-Fi,"“Slaughterhouse-Five” follows WW2 veteran Billy Pilgrim who becomes ""unstuck in time"". The novel's title refers to the name of the enclosure where Billy was kept as a zoo exhibit by aliens called Tralfamadorians. Death is meaningless to Tralfamadorians, because they are able to see in four-dimensions, observing all points in the space-time continuum simultaneously.",The novel's title refers to the name of the enclosure where Billy was kept as a zoo exhibit by aliens called Tralfamadorians.,"Um, actually, Slaughterhouse-Five isn't the name of the alien zoo. It's a literal slaughterhouse where Billy was kept as a POW during the Dresden bombing"
By Peter the Human,Star Trek: the Next Generation,Sci-Fi,"In the two-part episode “Chain of Command”, Captain Picard is captured and taken prisoner by the Cardassians. To gain insight into the Federation’s plans, he is tortured by Gul Madred with sensory depravation, forced nakedness, stress positions and starvation. When all his other tortures fail, Gul Madred asks Picard what two plus two is, subjecting him to intense pain every time he does not answer ""five"".","When all his other tortures fail, Gul Madred asks Picard what two plus two is, subjecting him to intense pain every time he does not answer ""five"".","Um, actually, Picard wasn't asked to say that 2 + 2 = 5. Picard is asked to stare at four lights and is subject to pain if he does not say there are ""five""."
By Peter the Human,Star Wars: Episode III - Revenge of the Sith,Fantasy,"Supreme Chancellor Palpatine tempted Anakin Skywalker over to the Dark Side of the Force by telling him the tragedy of Darth Plagueis the Wise - a Sith Lord with the ability to prevent death and create life. This later prompts Anakin to betray his fellow Jedi Master Mace Windu: Anakin severs his hand, allowing Palpatine to blast Mace Windu through a window to his death with Force lightning.",This later prompts Anakin to betray his fellow Jedi Master Mace Windu:,"Um, actually, Anakin Skywalker isn't a Jedi Master. Anakin was appointed to the Jedi Council, but was not granted the rank of Master."
By Peter the Human,Starship Troopers,Sci-Fi,"In “Starship Troopers”, the human United Citizen Federation is at war with the Arachnids, a race of insectoid aliens from the planet Klendathu. While most ""bugs"" are apparently mindless, they are strategically directed by a ""Brain Bug"", an Arachnid who has developed intelligence through psychic abilities and careful observation of the human's battle tactics.","a ""Brain Bug"", an Arachnid who has developed intelligence through psychic abilities and careful observation of the human's battle tactics.","Um, actually, the Brain Bug isn't intelligent due to psychic abilities or observation. It consumes human brains, absorbing their knowledge."
By Shinitenshi,The Twilight Zone,Sci-Fi,"The episode “Time Enough at Last” features bankteller Henry Bemis, who is chastised for reading too much. After surviving an H-bomb explosion by hiding in his bank’s vault, he finds that everyone has died. Thankfully for him, the books at the library survive and he has canned food to last him a life time. While he's happy to read to his heart’s content, he falls into despair because books can’t replace human connections.","While he's happy to read to his heart’s content, he falls into despair because books can’t replace human connections.","Um, actually, Henry can’t read the books in the library. Henry falls into despair because his spectacles break, leaving him unable to read the books."
